watch_id,name,brand,price,material,reference,condition,image_url
1,Pre-Owned Ladies Rolex Datejust Ref 179163 Ivory Pyramid Dial,Rolex,8995.0,Steel and Gold,179163,Used,https://www.bobswatches.com/images/zUsed-Rolex-Lady-Datejust-179163-SKU183035.jpg
2,Pre-Owned Black Dial Rolex Sky-Dweller 336934 Jubilee Bracelet,Rolex,23995.0,Stainless Steel,336934,Used,https://www.bobswatches.com/images/zUsed-Rolex-Sky-Dweller-336934-SKU187118.jpg
3,Omega Constellation Yellow Gold,Omega,34995.0,Yellow Gold,131.50.39.20.02.002,Used,https://www.bobswatches.com/omega/images/zUsed-OMEGA-Constellation-131.50.39.20.02.002-SKU186226.jpg
4,Superocean Heritage B20 Automatic 44 Steel & 18k Red Gold,Breitling,5095.0,Steel and Rose Gold,UB2030121B1A1,New,https://www.bobswatches.com/breitling/images/zBreitling-Superocean-UB2030121B1A1-SKU182427.jpg
5,Rolex Day-Date 36 Yellow Gold 18238 Onyx Arabic Diamond Dial,Rolex,44995.0,Yellow Gold,18238,Used,https://www.bobswatches.com/images/zUsed-Rolex-Day-Date-36-18238-SKU184911.jpg
6,Pre-Owned Tudor Black Bay Chrono 79363N Steel & Gold,Tudor,6995.0,Steel and Gold,M79363N-0007,Used,https://www.bobswatches.com/tudor/images/zUsed-Tudor-Black-Bay-79363-SKU187001.jpg
7,Used Lady Rolex Datejust 79173 Blue Dial,Rolex,7495.0,Steel and Gold,79173,Used,https://www.bobswatches.com/images/zUsed-Rolex-Lady-Datejust-79173-SKU185913.jpg
8,Pre-Owned Patek Philippe Calatrava 5119G 18k White Gold,Patek Philippe,15995.0,White Gold,5119G-001,Used,https://www.bobswatches.com/patek-philippe/images/zUsed-Patek-Philippe-Calatrava-5119G-SKU187258.jpg
9,Rolex Submariner 16800 Black Aluminum Bezel Insert,Rolex,9995.0,Stainless Steel,16800,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-16800-SKU186898.jpg
10,Used Rolex No Date Submariner Ref 14060 Black,Rolex,10595.0,Stainless Steel,14060,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-14060-SKU184095.jpg
11,Used Cartier Ballon Bleu Stainless Steel,Cartier,8295.0,Stainless Steel,W4BB0023,Used,https://www.bobswatches.com/cartier/images/zUsed-Cartier-Ballon-Bleu-W4BB0023-Diamond-Bezel-SKU165314.jpg
12,Used Rolex Datejust 36 Black Dial 116200,Rolex,7495.0,Stainless Steel,116200,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-36-116200-SKU186847.jpg
13,Pre-Owned Steel Rolex Datejust 41 Ref 126300 White Dial,Rolex,10295.0,Stainless Steel,126300,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-41-126300-SKU187524-PL.jpg
14,Pre-Owned Rolex Sea-Dweller Deepsea 136660B James Cameron,Rolex,17295.0,Stainless Steel,136660B,Used,https://www.bobswatches.com/images/zUsed-Rolex-Sea-Dweller-136660b-SKU-187465-PL.jpg
15,Vintage Rolex GMT-Master Reference 1675 Pepsi Rivet Bracelet,Rolex,17995.0,Stainless Steel,1675,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-1675-SKU187261.jpg
16,Pre-Owned Patek Philippe Neptune 5081J Yellow Gold,Patek Philippe,25995.0,Yellow Gold,5081J-001,Used,https://www.bobswatches.com/patek-philippe/images/zUsed-Patek-Philippe-Neptune-5081J-Black-Dial-SKU187338.jpg
17,Pre-Owned Rolex Lady Datejust Ivory Pyramid Dial 79173,Rolex,8995.0,Steel and Gold,79173,Used,https://www.bobswatches.com/images/zUsed-Rolex-Lady-Datejust-79173-SKU184429.jpg
18,Pre-Owned Rolex Yacht-Master II White Gold 116689,Rolex,32995.0,White Gold,116689,Used,https://www.bobswatches.com/images/zUsed-Rolex-Yacht-Master-II-116689-White-Dial-SKU-187475.jpg
19,Pre-Owned Rolex Day Date II ref 218238 Champagne Roman Dial,Rolex,39495.0,Yellow Gold,218238,Used,https://www.bobswatches.com/images/zUsed-Rolex-President-218238-SKU-181384.png
20,Pre-Owned Lady Rolex Datejust Ref 69173 Diamond Dial,Rolex,6595.0,Steel and Gold,69173,Used,https://www.bobswatches.com/images/zUsed-Rolex-Lady-Datejust-69173-SKU184550.jpg
21,Pre-Owned Zombie Rolex GMT-Master II Ref 126713GRNR,Rolex,22795.0,Steel and Gold,126713GRNR,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-126713-SKU187151.jpg
22,Pre-Owned Rolex Lady Datejust 178274 White Roman Dial,Rolex,14995.0,Stainless Steel,179384,Used,https://www.bobswatches.com/images/zUsed-Rolex-Ladies-Datejust-179384-SKU185943.jpg
23,Pre-Owned Root Beer Rolex GMT-Master II Two Tone 126711CHNR,Rolex,20495.0,Steel and Rose Gold,126711CHNR,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-126711-SKU186850.jpg
24,Pre-Owned Rolex Submariner 116618LB Blue Dial,Rolex,34495.0,Yellow Gold,116618,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-116618-SKU187180.jpg
25,Used Rolex Daytona Ref 116500 Black Dial,Rolex,26595.0,Stainless Steel,116500LN,Used,https://www.bobswatches.com/images/zUsed-Rolex-Daytona-116500-Black-Dial-SKU185483.jpg
26,Pre-Owned Patek Philippe Calatrava Charcoal Gray Dial,Patek Philippe,42995.0,White Gold,5226G-001,Used,https://www.bobswatches.com/patek-philippe/images/zUsed-Patek-Philippe-Calatrava-5226G-SKU187414.jpg
