watch_id,name,brand,price,material,reference,condition,image_url
1,Pre-Owned Ladies Rolex Datejust Ref 179163 Ivory Pyramid Dial,Rolex,8995.0,Steel and Gold,179163,Used,https://via.placeholder.com/300
2,Pre-Owned Black Dial Rolex Sky-Dweller 336934 Jubilee Bracelet,Rolex,23995.0,Stainless Steel,336934,Used,https://via.placeholder.com/300
3,Omega Constellation Yellow Gold,Omega,34995.0,Yellow Gold,131.50.39.20.02.002,Used,https://via.placeholder.com/300
4,Superocean Heritage B20 Automatic 44 Steel & 18k Red Gold,Breitling,5095.0,Steel and Rose Gold,UB2030121B1A1,New,https://via.placeholder.com/300
5,Rolex Day-Date 36 Yellow Gold 18238 Onyx Arabic Diamond Dial,Rolex,44995.0,Yellow Gold,18238,Used,https://via.placeholder.com/300
6,Pre-Owned Tudor Black Bay Chrono 79363N Steel & Gold,Tudor,6995.0,Steel and Gold,M79363N-0007,Used,https://via.placeholder.com/300
7,Used Lady Rolex Datejust 79173 Blue Dial,Rolex,7495.0,Steel and Gold,79173,Used,https://via.placeholder.com/300
8,Pre-Owned Patek Philippe Calatrava 5119G 18k White Gold,Patek Philippe,15995.0,White Gold,5119G-001,Used,https://via.placeholder.com/300
9,Rolex Submariner 16800 Black Aluminum Bezel Insert,Rolex,9995.0,Stainless Steel,16800,Used,https://via.placeholder.com/300
10,Used Rolex No Date Submariner Ref 14060 Black,Rolex,10595.0,Stainless Steel,14060,Used,https://via.placeholder.com/300
11,Used Cartier Ballon Bleu Stainless Steel,Cartier,8295.0,Stainless Steel,W4BB0023,Used,https://via.placeholder.com/300
12,Used Rolex Datejust 36 Black Dial 116200,Rolex,7495.0,Stainless Steel,116200,Used,https://via.placeholder.com/300
13,Pre-Owned Steel Rolex Datejust 41 Ref 126300 White Dial,Rolex,10295.0,Stainless Steel,126300,Used,https://via.placeholder.com/300
14,Pre-Owned Rolex Sea-Dweller Deepsea 136660B James Cameron,Rolex,17295.0,Stainless Steel,136660B,Used,https://via.placeholder.com/300
15,Vintage Rolex GMT-Master Reference 1675 Pepsi Rivet Bracelet,Rolex,17995.0,Stainless Steel,1675,Used,https://via.placeholder.com/300
16,Pre-Owned Patek Philippe Neptune 5081J Yellow Gold,Patek Philippe,25995.0,Yellow Gold,5081J-001,Used,https://via.placeholder.com/300
17,Pre-Owned Rolex Lady Datejust Ivory Pyramid Dial 79173,Rolex,8995.0,Steel and Gold,79173,Used,https://via.placeholder.com/300
18,Pre-Owned Rolex Yacht-Master II White Gold 116689,Rolex,32995.0,White Gold,116689,Used,https://via.placeholder.com/300
19,Pre-Owned Rolex Day Date II ref 218238 Champagne Roman Dial,Rolex,39495.0,Yellow Gold,218238,Used,https://via.placeholder.com/300
20,Pre-Owned Lady Rolex Datejust Ref 69173 Diamond Dial,Rolex,6595.0,Steel and Gold,69173,Used,https://via.placeholder.com/300
21,Pre-Owned Zombie Rolex GMT-Master II Ref 126713GRNR,Rolex,22795.0,Steel and Gold,126713GRNR,Used,https://via.placeholder.com/300
